"Средняя зарплата","published_at","salary_from Замена","salary_to Замена","дата без времени","id","name","has_test","response_letter_required","salary_currency","created_at","parsed_at","url","employer_name","description","alternate_url","area_id","area_name","salary_from Заменен","salary_to Заменен","salary_gross"
"60000","2020-09-04 12:52:14+00","40000","80000","","38544478","Бизнес-аналитик","","","RUR","2020-09-04 12:52:14+00","2020-09-07 11:01:01.837057+00","https://api.hh.ru/vacancies/38544478?host=hh.ru","CRMguru","<p>CRMguru — международный системный интегратор, специализирующийся на разработке и внедрении CRM- и BPM-систем.</p> <p>Успешно работаем с 2010 года, выполняем масштабные проекты в 15 отраслях: банки, страхование, лизинг, производство, логистика, государственный сектор, транспорт, медиа и др.</p> <p>Наши клиенты: Газпромнефть, Промсвязьбанк Лизинг, АЛРОСА, Raiffeisen Life, ВТБ, РУСАЛ.</p> <p>Используемые платформы: Terrasoft Creatio (по данным на конец 2019 года занимали 2 место в мире по количеству сертифицированных специалистов), Microsoft Dynamics CRM/365, SugarCRM, SuiteCRM.</p> <p>Обязанности:</p> <ul> <li> <p>Подготовка оценок трудоёмкости и стоимости реализации проектов;</p> </li> <li> <p>Участие в формировании, согласовании и презентации концепции решения;</p> </li> <li> <p>Участие в исследовании процессов, сборе и формировании бизнес- и функциональных требований;</p> </li> <li> <p>Проработка ролевой модели автоматизированного решения;</p> </li> <li> <p>Проектирование бизнес-процессов на платформе Creatio и Microsoft Dynamics CRM/365;</p> </li> <li> <p>Участие в проработке механизмов интеграции с информационными системами компании;</p> </li> <li> <p>Участие в планировании бэклога и спринтов;</p> </li> <li> <p>Постановка задач команде разработки: передача информации от стейкхолдеров, обеспечение понимания командой разработки требований бэклога;</p> </li> <li> <p>Участие в приемке разработанной функциональности продукта;</p> </li> <li> <p>Разработка use-case, технической и эксплуатационной документации по проекту, руководств бизнес-пользователей;</p> </li> <li> <p>Презентация разработанного продукта клиентам и заинтересованным лицам;</p> </li> <li> <p>Участие в тестирования разработанного продукта;</p> </li> <li> <p>Обучение сотрудников компании функциональности продукта.</p> </li> </ul> <p>Требования:</p> <ul> <li> <p>Знание и понимание нотации моделирования процессов BPMN 2.0;</p> </li> <li> <p>Понимание современного подхода к управлению бизнес-процессами (Business Process Management);</p> </li> <li> <p>Понимание процессов создания продукта, участие в создании продуктов по гибким методикам;</p> </li> <li> <p>Знание и понимание базовой технической терминологии;</p> </li> <li> <p>Навык командной работы, ориентация на результат;</p> </li> <li> <p>Умение быстро подготовить и презентовать проработанное решение;</p> </li> <li> <p>Навыки анализа потребностей и ожиданий пользователей, хорошие коммуникативные навыки;</p> </li> <li> <p>Умение планировать задачи, правильно расставлять приоритеты и работать в заданные сроки;</p> </li> <li> <p>Знание английского или других иностранных языков как преимущество.</p> </li> </ul> <p>Условия:</p> <ul> <li> <p>Официальное трудоустройство;</p> </li> <li> <p>Высокий уровень дохода + бонусы по результатам работы;</p> </li> <li> <p>5-ти дневная рабочая неделя, 8-ми часовой рабочий день;</p> </li> <li> <p>Возможность выбора, где работать: в офисе в Москве или удаленно;</p> </li> <li> <p>Офис в бизнес-центре «Верейская Плаза» (класс B+) с развитой инфраструктурой: столовые с доступными ценами, кафе с разными кухнями, банкоматы, аптеки, парикмахерские, магазины, фитнес-клуб, автомойка. Настольный теннис, футбол и лаундж-зона с читальным залом;</p> </li> <li> <p>Для сотрудников действует бесплатный корпоративный транспорт из офиса / в офис от станции метро «Славянский Бульвар»;</p> </li> <li> <p>Постоянное профессиональное развитие и карьерный рост;</p> </li> <li> <p>Обучение в корпоративном университете, прохождение сертификаций за счет компании;</p> </li> <li> <p>Работа в коллективе единомышленников, профессионалов и друзей. Коллективные квесты, корпоративы, спортивные мероприятия;</p> </li> <li> <p>Корпоративные скидки на услуги ресторанов, турагентств, страхования, мобильной связи, фитнес-центров.</p> </li> </ul> <p> </p> <p> </p>","https://hh.ru/vacancy/38544478","1","Москва","","","FALSE"
"132500","2021-02-18 06:10:39+00","120000","145000","","42195535","Бизнес-аналитик","","","RUR","2021-02-18 06:10:39+00","2021-02-19 03:10:46.627329+00","https://api.hh.ru/vacancies/42195535?host=hh.ru","ЖИЛСЕРВИС","<strong>Обязанности:</strong> <p>​​​- Сбор текущей и результирующей информации по исполнению стратегических целей предприятий в формате SMART, анализ достоверности представленной информации, дополнительные запросы информации, в том числе первичных документов для получения достоверных данных. Выявление системных ошибок и нарушений при подаче недостоверных данных.</p> <p>- Постановка выявленных ошибок на управленческий контроль, ведение до ликвидации ошибки</p> <p>- Анализ информации, поступающий от предприятий и служб совета директоров, сопоставление на соответствие, выявление расхождений с плановыми цифрами и информации из разных источников между собой. Выявление возможных причин отклонений. Запрос дополнительной информации, в том числе первичных документов.</p> <p>- Выявление, регистрация, анализ и классификация управленческих и финансовых рисков, и разработка комплекса мероприятий по их минимизации, анализ внутренней и внешней среды предприятий.</p> <p>- Постановка выявленных ошибок на управленческий контроль, ведение до ликвидации ошибки</p> <p>- Оперативное информирование руководителя по выявленным расхождениям с целью немедленного принятия управленческих решений.</p> <p>- Подготовка материалов для регулярной отчётности совету директоров по полученным материалам.</p> <p>- Подготовка предложений по оптимизации деятельности предприятий в части достижения стратегических целей, а также сбора и подготовки информации</p> <p>- Обработка и анализ других информационных, аналитических и статистических материалов по заданию руководителя.</p> <p>- Консультирование директоров по вопросам планирования, реализации и отчётности по стратегическим задачам.</p> <p>- Исполнение роли заказчика в разработке и внедрение программного продукта для автоматизации группы компаний.</p> <p><strong>Требования:</strong></p> <p>- Высшее образование и дополнительное профессиональное образование - &quot;Экономика и управление&quot;, &quot;Аналитика систем управления и организации&quot;;</p> <p>- Знание и опыт анализа в системе управления по целям;</p> <p>- Знание и опыт анализа в системах управленческого бюджетирования и ПФА;</p> <p>- Знание и опыт применения методов сбора, анализа, систематизации, хранения и поддержания в актуальном состоянии информации бизнес-анализа;</p> <p>- Знание и опыт в работе с большими массивами данных;</p> <p>- Умение анализировать внутренние (внешние) факторы и условия, влияющие на деятельность организации;</p> <p>- Опыт работы в больших холдинговых структурах (предпочтение- производственные, сервисные или строительные компании) на аналитических должностях от 2-х лет. Работа в разных компаниях из разных сфер является преимуществом.</p> <p>- Развитые навыки работы с цифрами и с Excel</p> <p>- Сочетание коммуникационных навыков, командной работы с принципиальностью.</p> <p><strong>Условия:</strong></p> <p>- Оформление согласно ТК РФ (&quot;белая&quot; заработная плата, оплата б/л, отпусков);</p> <p>- Уровень дохода: от 120 000 до 145 000 руб.;</p> <p>- Место работы: Москва, Щелковское шоссе, дом 100.</p>","https://hh.ru/vacancy/42195535","1","Москва","","","TRUE"
"170000","2020-08-11 14:54:15+00","160000","180000","","33636803","Бизнес-аналитик","","","RUR","2020-08-11 14:54:15+00","2020-08-11 15:00:07.480364+00","https://api.hh.ru/vacancies/33636803?host=hh.ru","ГК Аккорд","<p>Компания заинтересована в расширении и развитии информационной поддержки предоставляемых на рынке услуг. Вы будете участвовать в качественной формализации требований для разнообразных по устройству и сложности проектов в области fulfilment. Специфические и, зачастую, уникальные требования заказчиков компании способствуют проявлению профессиональных качеств наших сотрудников.</p> <p><strong>Обязанности:</strong></p> <p>Анализ, формализация и согласование требований на изменения функционала ИС</p> <p>Cоставление и согласование внутренних технических заданий на модификацию ИС</p> <p>Системный анализ существующих БП и функционала ИС</p> <p>Подготовка решений по повышению их эффективности</p> <p>Анализ комплексных моделей ИС</p> <p>Разработка и подготовка нормативно–справочной документации</p> <p>Поддержание актуального состояния формализованных описаний существующего ИС</p> <p>Разработка и поддержание в актуальном состоянии контента Базы Знаний</p> <p>Контроль реализации требований в функционале ИС и участие в UAT</p> <p>Подготовка и представление отчётной документации по выполненным работам</p> <strong>Требования:</strong> <ul> <li>Эффективная коммуникабельность, стрессоустойчивость, нацеленность на результат</li> <li>Системный и аналитический склад ума, умение работать с большими объемами информации, хорошая обучаемость</li> <li>Умение извлекать из информации от заказчиков кристаллизованные требования</li> <li>Опыт написания технических заданий</li> <li>Опыт участия в проектах внедрения информационных систем</li> <li>Опыт работы с программными продуктами для описания бизнес-процессов и управления проектами</li> <li>Знание основных нотаций моделирования процессов и подходов к управлению проектами</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Интересные задачи, участие в разнообразных и востребованных проектах по всем направлениям бизнеса Группы Компаний Аккорд;</li> <li>Работа с стабильной, надежной компании, лидер в своем сегменте.</li> <li>Офис в шаговой доступности от метро, служебная парковка на территории.</li> <li>Уютный, современный офис open space, кофе.</li> </ul>","https://hh.ru/vacancy/33636803","1","Москва","","","FALSE"
"150000","2020-08-17 12:41:59+00","0","150000","","38544102","Бизнес-аналитик / Business analyst / Product analyst","","","RUR","2020-08-17 12:41:59+00","2020-08-18 15:01:19.216717+00","https://api.hh.ru/vacancies/38544102?host=hh.ru","ЭНГРИ","<p><strong>В команду нового финансового сервиса. </strong><br />Наша команда — это продуктологи, дизайнеры, исследователей и разработчики, которые последние 7 лет запускали финансовые сервисы и нео-банки в России и Европе. Дальше — усреднённый портрет «нашего» человека:</p> <ul> <li>Мы глубоко понимаем пользователя и финансовую сферу. Мы всегда знаем, что делаем, для кого делаем и сколько профита бизнесу это принесёт.</li> <li>Гибкий мозг и быстрая обучаемость. Если мы чего-то не можем, то за 2 дня научимся и сделаем.</li> <li>Мы все заодно и хорошо мотивированы. Люди без мотивации и умения действовать — не наш тип.</li> </ul> <p><strong>Что предстоит делать:</strong></p> <ul> <li>Анализировать и описывать бизнес-процессы банка As Is и To Be: определять требования бизнеса для автоматизации</li> <li>Моделировать и описывать бизнес-процессы, ставить задач разработчикам</li> <li>Собирать, анализировать и систематизировать бизнес-требования на основе дизайн-макетов</li> <li>Составлять документацию с требованиями к конечному продукту</li> <li>Управлять требованиями (хранить и актуализировать, контролировать состояние отдельных функциональных требований по мере готовности и корректности их реализации)</li> <li>Участвовать в разработке концепции и архитектуры решений</li> <li>Проводить экспертизу разных предлагаемых вариантов решения, участвовать в приёмке и опытной эксплуатации систем</li> </ul> <p><strong>Чего ждём от тебя:</strong></p> <ul> <li>Опыт работы аналитиком в IT от 2-х лет, желательно в банковском секторе</li> <li>Знать SQL на уровне простых запросов: select’ы с join и group by</li> <li>Владеть форматами обмена данных — XML, JSON </li> <li>Опыт работы с постманом</li> <li>Знать принципы разработки программного обеспечения: анализ требований, дизайн, разработка, тестирование, техподдержка</li> <li>Опыт моделирования бизнес-процессов: пользователь сделал, система ответила, потом разветвление на 30 корнер-кейсов и мы ни об одном не забыли</li> <li>Коммуникативные навыки и способность к самостоятельной работе: не каждый технарь может вовремя сказать, о том что есть проблема, а потом проблема становится катастрофой</li> <li>Аналитический склад ума, внимание к деталям. Когда вся команда это ниндзя-профессионалы, поверхностное отношение быстро отторгнется </li> <li>Умение организованно и точно изъяснять мысли — и письменно и устно. Ведь текст в джире читают не только люди из IT, но и менеджеры поддержки.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Гибкое начало рабочего дня в диапазоне 9-11 часов. Важно выполнять задачи, а не отсиживать 8 часов.</li> <li>Комфортный современный офис, 200 метров от м. Менделеевская. Надо один раз увидеть — поэтому будем звать в гости.</li> <li>Отличный, дружный и атмосферный коллектив: те кто к нам приходят, через неделю говорят: «Жаль я раньше не решился уйти к вам из ХХ-банка»</li> <li>Возможность профессионального развития: мы только запускаемся, сейчас команда небольшая, и если хорошо показать себя, все будут только рады вашему проф-росту и ЗП-росту.</li> </ul>","https://hh.ru/vacancy/38544102","1","Москва","1","","FALSE"
"42500","2020-08-20 12:46:12+00","40000","45000","","38736186","Бизнес-аналитик","","","RUR","2020-08-20 12:46:12+00","2020-08-23 11:00:32.651169+00","https://api.hh.ru/vacancies/38736186?host=hh.ru","МАТОРИН","<p><strong>Обязанности</strong>:</p> <p>Сбор и анализ бизнес требований к новым или уже существующим бизнес-процессам, интервьюирование бизнес-заказчиков.<br />Разработка и согласование моделей, регламентов, инструкций бизнес-процессов.<br />Анализ и оптимизация существующих бизнес-процессов.<br />Участие во внедрении бизнес-процессов (разработка обучающих презентаций, проведение обучения, участие во внутренних аудитах).<br />Возможно участие в проведении внутренних аудитов уже внедренных бизнес-процессов.<br />Консультирование сотрудников подразделений по вопросам бизнес-логики.<br />Участие в проектах по разработке/доработке ПО и масштабированию бизнес-процессов.</p> <p>В ходе адаптационного периода (3 месяца) и далее возможен выбор направления для дальнейшего развития: работа с бизнес-процессами или информационными системами.</p> <p><strong>Требования</strong>:</p> <p>Знание основных принципов процессного и системного подходов</p> <p>Работа с программными продуктами BPwin/All Fusion Process Modeler/ARIS (нотация IDEF0)</p> <p>Умение работать с большими объёмами текста (написание, самооценка, рецензирование, редактирование, согласование) и массивами других данных</p> <p>Умение работать в команде, коммуникабельность</p> <p>Умение декомпозировать сложное на более простое</p> <p>Представление о процессе проектирования информационной системы (от выявления требований пользователя до проведения бизнес-тестирования)</p> <p>Преимуществом будет знание принципов ER-моделирования</p> <p>Преимуществом также будет знание (на базовом уровне) стандартов ISO 9000 и ISO 9001</p> <p> </p> <p><strong>Условия</strong>:</p> <p>Оформление по ТК РФ;</p> <p>График работы с 09.00 до 18.00, пятница - до 16.45</p> <p>Место работы м. Шаболовская (шаговая доступность)</p> <p>Частично оплачиваемые обеды</p> <p>Молодой дружный коллектив</p>","https://hh.ru/vacancy/38736186","1","Москва","","","FALSE"
"200000","2021-12-01 11:55:40+00","0","200000","","50107385","Старший бизнес-аналитик","","","RUR","2021-12-01 11:55:40+00","2021-12-01 15:08:11.218131+00","https://api.hh.ru/vacancies/50107385?host=hh.ru","ЛС Диджитал","<p>Ключевая цель команды на ближайший год: обеспечить выполнение смарт-контракта на заказную разработку платформы по управлению активами в рамках заказчика основываясь на теории <strong>solid-технологий</strong> для реального сектора (B2B) российского рынка.</p> <p><strong>Ожидаемый результат от бизнес-аналитика:</strong></p> <ul> <li>Разработать описание к интеграционному взаимодействию разрабатываемого решения в соответствии с моделью данных проектов шаблонов и информационного окружения;</li> <li>Подготовить описание требований к инфраструктуре размещения и безопасного хранения;</li> <li>Определить перечень демонстрируемых функций прототипа в соответствии с результатами обследования.</li> <li>Разработка презентаций для представления результатов Пилота руководству заказчика.</li> </ul> <p><strong>Описание роли бизнес-аналитика:</strong></p> <ul> <li>Анализирует бизнес-процессы заказчика и определяет, как наиболее оптимально встроить в них продукт.</li> <li>Проводит реинжиниринг бизнес-процессов заказчика в связи с переходом на активоцентричный подход в управлении.</li> <li>Определяет какие данные являются «значимыми» для их публикации на разрабатываемом решении.</li> <li>Определяет векторы интеграции и формирует бизнес-требования к интеграции систем (на уровне бизнес-процессов).</li> <li>Проводит анализ рынка и потенциальных заказчиков на предмет определения бизнес- кейсов и построения гипотез применения<br />продукта.</li> <li>Выполняет Cust Dev – проводит исследования\ интервью для выявления потребительских свойств продукта и дает предложения по внесению их в продукт.</li> <li>Разработка документов (концепций, ТЗ, презентаций продукта)</li> </ul> <p><strong>Ожидаемые результаты деятельности бизнес-аналитика в проекте:</strong></p> <ul> <li>Сбор требований для формирования моделей данных по хранению информации об активах заказчика (корпоративные системы, подрядчики и т.д.), применительно к использованию в разрабатываемом решении</li> <li>Разработка требования к системе в части структуры данных, интеграции данных, инструментов по автоматизации и подготовки данных.</li> </ul> <p><strong>Рекомендации к опыту:</strong></p> <ul> <li>Опыт в разработке стратегий автоматизации\ит\цифровизации, бизнес и продуктовых стратегий для крупных корпоративных заказчиков уровня РЖД, Газпром и т.д.</li> <li>Опыт работы в IT проектах B2B в качестве старшего\ведущего бизнес-аналитика (процессы\заказчик\управление людьми(аналитики).</li> <li>Внедрение систем ITIL\ITSM будет + (отсутствие опыта не является стоп-фактором)</li> <li>Релевантный опыт с командой заказчиками по сбору требований к бизнес-процессам, применительно к работе с активами.</li> <li>Подтверждаемый опыт разработки требований к разрабатываемому ПО, написание концепций, ТЗ, разработка презентаций</li> <li>Анализ рынка, разработка бизнес-кейсов и гипотез, Cust Dev</li> <li>Опыт работы в консалтинге и системном интеграторе со стороны команды внедрения.</li> </ul> <p><strong>Условия работы:</strong></p> <ol> <li>Мы стараемся поддерживать высокую скорость работы и принятия решений в команде.</li> <li>Мы полностью соблюдаем ТК РФ.</li> <li>Стараемся вести открытую\гибкую кадровую политику</li> <li>Находимся в шаговой (действительно шаговой) доступности от м. улица 1905 г.</li> <li>Рассматриваем разные варианты занятности</li> <li>Гибкие условия по графику работы(удаленная\офис).</li> <li>Заработная плата высокая</li> <li>Местные командировки (офисы заказчиков г. Москва (ЦАО).</li> </ol> <p><strong>Технологические стеки, которые будут применены или планируются применяться в проекте:</strong><br />1. Semantic Web<br />2. Linked Data<br />3. RDF<br />4. OWL<br />5. SPARQL<br />6. SOLID</p> <ul> <li> </li> </ul>","https://hh.ru/vacancy/50107385","1","Москва","1","","FALSE"
"135000","2020-08-31 09:16:45+00","120000","150000","","38922389","Бизнес-аналитик","","","RUR","2020-08-31 09:16:45+00","2020-09-03 07:01:16.490791+00","https://api.hh.ru/vacancies/38922389?host=hh.ru","Articul Media","<strong>Обязанности:</strong> <ol> <li>Организовать сбор требований для проекта и спланировать с PM’ом план проекта.</li> <li>Определить стейкхолдеров и других носителей дополнительных знаний/требований.</li> <li>Проинтервьюировать заказчика и других стейкхолдеров на предмет бизнес-идеи, целей проекта, ожиданий от результата.</li> <li>Визуализировать процессы, взаимосвязи, структуры объектов и данных, интерфейс.</li> <li>Создавать скетчи интерфейсов.</li> <li>Определить пробелы и неясности в существующих требованиях, которые вызовут вопросы разработчиков, увеличение сроков, изменение приоритетов и тп.</li> </ol> <p>7. Отследить требования от идеи до тест-кейсов, оценить покрытие и полноту приемки результатов</p> <p><strong>Требования:<br />Знать: </strong></p> <ul> <li>Функциональный и бизнес-анализ.</li> <li>Системный анализ.</li> <li>Построение схем UML/BPMN.</li> <li>Проектирование ПО.</li> <li>Базы данных.</li> <li>Декомпозиция и трекинг требований.</li> <li>Написание тест-кейсов.</li> <li>SQL.</li> <li>Чтение кода (желательно).</li> </ul> <strong>Условия:</strong> <p>Полный рабочий день!</p> <ul> <li> </li> </ul>","https://hh.ru/vacancy/38922389","1","Москва","","","FALSE"
"125000","2020-11-19 10:12:48+00","100000","150000","","40525656","Бизнес-аналитик","","","RUR","2020-11-19 10:12:48+00","2020-11-19 15:00:44.10936+00","https://api.hh.ru/vacancies/40525656?host=hh.ru","ЭсДиАй Солюшен","<strong>Обязанности:</strong> <ul> <li>Анализ бизнес процессов и технических решений в области управления НСИ и обеспечения качества данных.</li> <li>Разработка и участие во внедрении технических решений на платформе системы MDM (Master Data Management) и технологий ML (machine learning).</li> <li>Планирование проектных работ и ресурсов.</li> <li>Разработка технической документации.</li> <li>Согласование с заказчиком и презентация руководству технических решений проекта.</li> <li>Выполнение работ по внедрению информационных систем на предприятии заказчика.</li> <li>Постановка задач на доработку и конфигурирование систем, контроль исполнения.</li> </ul> <strong>Требования:</strong> <ul> <li>Высшее техническое образование.</li> <li>Опыт работы на промышленном предприятие или в ИТ-компании более 3-х лет.</li> <li>Опыт работы с MS Project.</li> <li>Знание ГОСТ 34.ХХХ и РД 50-34.698, опыт работы с различными аннотациями бизнес-процессов.</li> <li>Понимание принципов реляционных БД. Приветствуется опыт работы с SQL-запросами.</li> <li>Склонность к аналитической работе, коммуникабельность, инициативность, способность работать в команде.</li> </ul> <strong>Условия:</strong> <ul> <li>График работы и условия труда в соответствии с ТК РФ (5/2, 8 час. р. д., с 9.00 до 18.00 или с 8 до 17).</li> <li>Перспектива карьерного роста: Руководитель проектов.</li> <li>Испытательный срок: 3 (три) месяца с выплатой полного оклада (без премий).</li> </ul>","https://hh.ru/vacancy/40525656","1","Москва","","","TRUE"
"175000","2021-11-06 17:43:09+00","160000","190000","","49083427","Бизнес-аналитик в IT","","","RUR","2021-11-06 17:43:09+00","2021-11-08 19:10:52.626435+00","https://api.hh.ru/vacancies/49083427?host=hh.ru","Educate Online Inc","<p>Educate Online - международный стартап в области детского онлайн-образования. Мы молодые и позитивные, обладаем стартап-энергией и рвемся завоевывать новые рынки :) Наша миссия - дать возможность всем детям в любой точке мира возможность получить образование мирового уровня, не покидая свою страну.</p> <p>Технически это выражается в создании и развитии расширяемой web-платформы для онлайн-обучения детей. Мы расширяем наши команды разработки и будем рады опытному бизнес-аналитику с опытом работы от 3 лет.</p> <p><em><strong>Важно: </strong>Мы очень ценим soft skills наших сотрудников и поддерживаем в команде теплую, как сейчас говорят, экологичную атмосферу. Мы верим, что подобное притягивает подобное, и если ты позитивный и открытый человек, обязательно откликайся!</em></p> <p><strong>Обязанности:</strong></p> <ul> <li>Общение с внутренним заказчиком продукта, получение бизнес-требований и функциональных требований;</li> <li>Коммуникация с командами разработки, формирование технического задания;</li> <li>Постоянный поиск решений, которые помогут облегчить разработку продукта и улучшить его;</li> <li>Анализ метрик в поисках инсайтов, предложение новых решений и бизнесу, и разработке - <strong>это не просто слова, в нашей структуре аналитик действительно сможет существенно влиять на процессы и продукт</strong>;</li> <li>Взаимодействие с менеджерами продукта, маркетологами, менеджерами проекта, дизайнерами, разработчиками в процессе разработки продукта.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы бизнес-аналитиком в IT от 3 лет на разных проектах (особенно интересно, если ваш опыт включает работу с несколькими продуктами в рамках одной компании);</li> <li>Грамотное представление о том, как устроен процесс разработки;</li> <li>Знание основных нотаций описания процессов - BPMN, UML-диаграммы;</li> <li>Опыт работы с user story и job to be done.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Удаленная работа в международной компании над интересным проектом с большой миссией;</li> <li>Сильная и вдохновленная команда единомышленников-профессионалов;</li> <li>Корпоративный компьютер и ПО;</li> <li>Обучение английкому языку;</li> <li>Компенсация ДМС;</li> <li>Регулярные оплачиваемые командировки в Москву (если вы из другого города) для встреч всей командой;</li> <li>График работы: 5/2, гибкое начало рабочего дня:</li> <li>Зарплата по верхней границе рынка и выше.</li> </ul> <p><strong>Ждем кандидатов, готовых работать по московскому времени.</strong></p>","https://hh.ru/vacancy/49083427","1","Москва","","","FALSE"
"115000","2020-09-03 09:04:45+00","100000","130000","","39010917","Бизнес-аналитик","","","RUR","2020-09-03 09:04:45+00","2020-09-04 07:00:34.590366+00","https://api.hh.ru/vacancies/39010917?host=hh.ru","Городская Мобильность","<strong>Обязанности:</strong> <p> </p> <p><strong>- сбор информации, описание и моделирование бизнес-процессов;</strong></p> <p><strong>- сбор, формализация и согласование бизнес требований с заказчиками и разработчиками;</strong></p> <p><strong>- подготовка смет, коммерческих предложений, администрирование пилотных проектов;</strong></p> <p><strong>- подготовка презентаций для заказчиков;</strong></p> <p><strong>- разработка документации;</strong></p> <p><strong>- сбор информации, подготовка отчетных документов по проектам и деятельности компании.</strong></p> <p> </p> <strong>Требования:</strong> <ul> <li> <p><strong>Навыки работы с:</strong></p> <p><strong>CRM (системами управления взаимоотношениями с клиентами);</strong></p> <p><strong>системами аналитической обработки данных;</strong></p> <p><strong>системами моделирования бизнес-процессов;</strong></p> <p><strong>системами управления проектами.</strong></p> </li> <li> <p><strong>Высшее образование (предпочтительно в сфере информационных технологий)</strong></p> </li> </ul> <strong>Условия:</strong> <ul> <li>Официальное трудоустройство;</li> <li>Удаленная работа, гибкий график.</li> </ul>","https://hh.ru/vacancy/39010917","1","Москва","","","TRUE"
